Timestamp	Full Name	University Of Manchester email address	Which faculty are you in?	How did you find out about this course?	Which programming languages do you use?	Which version control systems do you use?	Which software engineering techniques do you use?	Which course did you attend?	Please suggest one thing the instructor could have done to make this lesson more effective?	If you could pick one thing from the lesson to go over again, what would it be?	What other topics would you like to have covered in the lesson?	Do you have any other feedback?	How would you rate the course overall?
28-Feb-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	R	None	None	Programming in Python	Work through the exercises in detail instead of giving too much time to complete them individually	More time spent putting the usage of commands into wider context		Very good course for people that haven't used python before!	4
28-Feb-2017			PSS	Supervisor	None	None	None	Programming in Python	na	na			4
28-Feb-2017			Biology, Medicine and Health	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	None	None	None	Programming in Python	perhaps shorter courses for slow learners or new people in programming 	nothing in particular			4
28-Feb-2017			Humanities	Word of mouth	Stata	None	None	Programming in Python	"Discuss a few introductory things in far mode detail. For example, how to save the code we have written, what exactly are the packages that were mentioned (I am not familiar with Python and the ""packages""), who writes those packages (are they ""official"" or users can write whatever they like and make that available to others, posing them at risk (e.g., who developed the 'math' that we imported and from where do we really import it? from the web or from our machine?). Several things were not clear to me. I did not care that much about ""my_var=3"" or about changing elements in a list. In my opinion, these things should have been covered in less time. I felt that the course assumed that the users had prior experience and deep understanding of Python (I don't have), although the content itself was for beginners."	Understand the basics of Python.	Textual Analysis	Please don't take my feedback as negative. The instructor was very nice and effective. I probably had different expectations about the course and I was expecting to understand a few more things about Python in more detail (even how to install it on my laptop and understand several concepts). The information in the slides was helpful to some extent. For someone that has not used Python before, I found it very difficult to understand how Python works in general (although the content of the course was not that difficult -  However, I wanted to get some broader understanding of how Python works). As for the exercises, I did not understand the first exercise. It seemed to be something very simple; yet, it didn't work for me. I expected to see the solutions of all the exercises, but this did not happen. We simply moved on. So, it makes no sense to have exercises if we don't know whether what we have done is correct.	2
28-Feb-2017			Science and Engineering	Word of mouth	Fortran, C/C++, Python	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions)	Programming in Python	Nothing	Numpy arrays	Loading data from text files. 		4
28-Feb-2017			Science and Engineering	PGR Notebook	MATLAB, C/C++	Git	None	Programming in Python	Coffee and/or snacks	plotting		Nice course	4
28-Feb-2017			Science and Engineering	STDU website	MATLAB, C/C++, VHDL	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures), Assertions (pre- and post-conditions), Unit testing, Defensive programming, Code reviews	Programming in Python	Consider when the techniques are appropriate	GUI topics	Techniques for large arrays or matrices	Mostly very good	4
1-Mar-2017			Humanities	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, Python, Stata	Git	None	Programming in Python	Spending more time on using packages like NumPy etc with a real data file, since the course was about numerical methods in python. Additionally, Iphython wasn't really good idea for programming.	--	"Python and statistical analysis, 
Python for Social science ( Economics)"	It would be better if we had 5-10 min break every 2 hours at least.	3
1-Mar-2017			Science and Engineering	Staffnet (staffnet.manchester.ac.uk/employment/training/it-systems/research-computing/research-courses/)	MATLAB, Fortran, Python, Bash	None	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	This lesson has already been very effective.	The difference between Python 2 and 3 as well as common practice to avoid problems when shifting between them.	OOP, or common practice of programming for re-using of codes by choosing the form of script, function or class of Python.	This lesson is very attractive. I'd like to see it being extended with another workshop to cover other topics talked in previous question.	5
1-Mar-2017			Science and Engineering	A University email list	C/C++, Python	Git	Comments, Use of sub-programs (e.g. functions, subroutines, methods, procedures)	Programming in Python	More audible	Debugging	Pandas dataframe		4
